,materia,departamento,epoca,año,comentarios,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15
0,Analisis de Datos,Matemática,Primer Cuatrimestre,2008,"['Es una materia a la que hay que dedicarle bastante tiempo, pero es interesante. Muy bueno el trabajo de las docentes.']",6d7152098cc336916f75c2f6f471f6e8,6d7152098cc336916f75c2f6f471f6e8,6d7152098cc336916f75c2f6f471f6e8,6d7152098cc336916f75c2f6f471f6e8,6d7152098cc336916f75c2f6f471f6e8,84fab19aba1a24e848a993a7bc7a0f59,84fab19aba1a24e848a993a7bc7a0f59,84fab19aba1a24e848a993a7bc7a0f59,fa990c01fa272e20101b6f2b2d1168b8,fa990c01fa272e20101b6f2b2d1168b8,6d7152098cc336916f75c2f6f471f6e8,6d7152098cc336916f75c2f6f471f6e8,6d7152098cc336916f75c2f6f471f6e8,6d7152098cc336916f75c2f6f471f6e8,6d7152098cc336916f75c2f6f471f6e8,fa990c01fa272e20101b6f2b2d1168b8
1,Analisis de Datos,Matemática,Primer Cuatrimestre,2006,"['No comparto la forma de calificar,las notas son muy subjetivas.\nNo fueron claras las recomendaciones sobre la forma de evaluar los contenidos de la materia en ambos parciales.\n', 'No entendí la función de la práctica, ya que concurrir o no a las mismas daba igual. Menos mal que existían los apuntes de Diana para guiarse.\n Y tampoco no entendí, ni entenderé la forma de evaluar al alumno. Me esforcé en hacer un TP de aprox 30 hojas; me costó trabajo hacer el mismo, para que luego pese más las tres preguntas que hacen en el ""parcialito"".', 'Si bien es la manera de evaluación que tienen, no me parece que sea la correcta. No puede ser que no hayan querido responder dudas del primer trabajo, ni que lo que dijeron que tomaban en el primer parcial no se tomó y se tomó otra cosa. No fue justo que hayan pedido interpretaciones de cosas que jamás habían siquiera mencionado (y no tanto por nosotros, sino por los de la maestría, porq muchas de esas interpretaciones necesitaban base matemática).\nY tampoco estuvo bien haber adelantado la fecha del final (y a mi, en particular, me molestó bastante que haya sido fecha fija).']",2acc8baa41e6d424ae97aeb14e1bf7c8,12f656969e15506995fb2e785d0d1f8c,2acc8baa41e6d424ae97aeb14e1bf7c8,f3c1a0c44df8bcca61ede9d7dba0e44d,c83d0b873cf5cd603c5e108b6ddfc562,97166c413b1a0cd76298e1746d97caf5,97166c413b1a0cd76298e1746d97caf5,40a074b75b9b672ab83ae06e005c932b,6b13b71488af0884afa645345807b25f,12f656969e15506995fb2e785d0d1f8c,22e08a906d4b1667a16ad8df0e1665c3,7f8f4635e3944c806a70c520d24c316b,b5c11c182b5d0c719401959080fb9566,3ddc1e7cd97b06879f787f5bd05b4f16,66f227e99a41f92f1dcd571605f8409f,5ca5cc040f645e6800274e5e17111045
2,Analisis de Datos,Matemática,Segundo Cuatrimestre,2003,"[' La materia sufrío en calidad con la tardanza con la que se dirimió la incorporación del docente adjunto. Su inclusión significó una mayor agilidad y dinamismo en la clase.\nDebería reveerse el contenido de la materia. Los temas son conocidos por todos, por más que se empecine en dictarlos como si nunca nadie escuchó de ellos. En líneas generales, es reconocible el mérito de la docente en dictar una materia por demás amplia, y que podría darse de cuantas maneras uno podría imaginarse. ', 'Curso mal organizado, donde nunca se sabe a donde apunta el docente ni que espera de los trabajos y examenes.  Francamente muy mal curso, mas aun considerando que es de un nivel de maestria\n', 'Sería conveniente reducir la cantidad de puntos a desarrollar en los trabajos prácticos que hay que entregar. Son excesivamente largos.']",7a64902da0d8768b954e7e069aa2198e,c34296a2fa0c6c9bf8b5d88f39e23414,621117b466431739f69f759c2976fb05,4d7ef437e509324e4604f8961b7d7f3e,7b581321be1ede531be10e4c13cdeed3,09f594b8d025d7ce832d6e210c7eeff0,09f594b8d025d7ce832d6e210c7eeff0,047628aa820aae56c20b2bc90a09da2d,d730d31583f677164500cb58eccd128e,d730d31583f677164500cb58eccd128e,d730d31583f677164500cb58eccd128e,2d572e2532b94e1a49e0567b0aaa366b,d730d31583f677164500cb58eccd128e,fa990c01fa272e20101b6f2b2d1168b8,5e7f91f69ea351ce2e98a1b00c0b2764,06ba7a531893438de08339430840c961
3,Acoplamiento y Procesos Estocasticos,Matemática,Segundo Cuatrimestre,2004,"['Felicito al profesor por la elaboracion de los apuntes de la materia, y sus esfuerzos por dictar Procesos Estocasticos, asignatura que considero de gran relevancia estrategica para el Departamento de Matematica, por su actualidad y variados campos de aplicacion (por ejemplo, en el campo de la bioinformatica y de las señales).\n', 'Me hubiera gustado que en esta materia se vieran aplicaciones y no tanto ""teorema"" y ""demostración"". Además por no tener práctica, creo que hubo demasiados ejercicios.', 'Muy linda la materia. Se que no se requeria haber cursado probabilidad, pero se hubieran podido analizar mas en profundidad los procesos estocasticos de no haberle dedicado tamnto tiempo a el curso autocontenido(perfecto, de mas esta decir), de probabilidades.\n ', 'Susana y Fabio, CAPOS!', 'Uno de los mejores profesores que tuve!\nAgradezco Vicentini haya dado esta materia este cuatrimestre. Realmente sabe de lo que habla (dudo que haya alguien tan capacitado para dar esta materia). Además, me parece bárbaro que prepare apuntes de los temas que da en clase, eso me hizo aprovechar mucho más sus explicaciones. Diez puntos para Vicentini!\n']",465f6f6676ec465bfeee67a434fb88cb,cc5e3fa944f6d5645b901d7baed4b458,f44701eb2b88371b10affdaaa0d967c9,a9a579cc53fefe8a3c12b548ec586701,57067013249729967a8a96371800dd44,04672cae9363a66fb615f7535504913c,18168ed45d871d51dad586ce701052e6,547c3db7128c91446a4e33f8a0dcf318,e23ff140f11cc8f532b06d9fe51fb530,e23ff140f11cc8f532b06d9fe51fb530,1fe61e62d7ebbd9ea83c2b1d9c5469bd,1fe61e62d7ebbd9ea83c2b1d9c5469bd,1fe61e62d7ebbd9ea83c2b1d9c5469bd,d5e0df6f5a10d18e674729ff84e285e8,8f0541e637c903e7be968f3524e4025f,94b41ca267bca3d93a588533c7054faa
4,Acuaporinas:estructura y Funcion,D-biodiversidad y Biologia Experimental,Segundo Cuatrimestre,2012,['Muy lindo el curso!'],fd8daf3a7c9426346413863c8d54cab2,fd8daf3a7c9426346413863c8d54cab2,fd8daf3a7c9426346413863c8d54cab2,fd8daf3a7c9426346413863c8d54cab2,1fe61e62d7ebbd9ea83c2b1d9c5469bd,fd8daf3a7c9426346413863c8d54cab2,fd8daf3a7c9426346413863c8d54cab2,fd8daf3a7c9426346413863c8d54cab2,fd8daf3a7c9426346413863c8d54cab2,fd8daf3a7c9426346413863c8d54cab2,1fe61e62d7ebbd9ea83c2b1d9c5469bd,1fe61e62d7ebbd9ea83c2b1d9c5469bd,1fe61e62d7ebbd9ea83c2b1d9c5469bd,1fe61e62d7ebbd9ea83c2b1d9c5469bd,1fe61e62d7ebbd9ea83c2b1d9c5469bd,c95162abfe3cc2010a1d0f504ba07fe9
5,Administracion de Proyectos Informaticos,Computación,Segundo Cuatrimestre,2011,"['En el primer Examen, los criterios de aprobacion del examen no eran lo suficientemente claros, pero en el segundo examen esa parte se mejoró.\n ', 'Muy buena la materia!!\n Quizás hubiera estado bueno incluir un poco más sobre dinámica de equipos de trabajo, algunas herramientas para ver como deberían conformarse los grupos para que haya cohesión y los distintos perfiles que deben tener los integrantes.', 'Muy buena materia.\nErnesto le pone mucha onda a las clases y es muy atento con las consultas y sugerencias.\nQuizá como crítica menor hubiera sido interesante tps más complejos o integrados, me pareció que fueron bastante pequeños y no podían reflejar bien los temas vistos.', 'Quick tips: Si la materia da 2 puntos porque no tiene práctica, no deberia haber TPs. El TP de calidad fue una pérdida de tiempo y no aportó nada. La materia es muy interesante y útil para aquellos que trabajamos en la industria. Algunos temas sin embargo se hacen demasiado extensos sin que haga falta (control de cambio está más allá del límite de tolerabilidad de esta facultad). Los criterios de evaluación DEBEN (es obligatorio) darse ANTES de los exámenes, no después y a modo de sorpresa. No estoy de acuerdo con entregar los slides luego de la clase, y me parece MALO que algunos no tengan versión imprimible (ie: fondo negro). Molesta que 4 o 5 veces pregunten al inicio de la clase que hacemos y hace cuanto trabajamos. Hubiese estado bueno ver ejemplos de documentación real de management, ya que Pragma estuvo tan involucrada en la cursada, hubiese sido interesante ver ejemplos de manejo de situaciones de la empresa (x ej: filmar un standup meeting o un review, mostrar un documento de coding standards, un plan de proyecto completo, ejemplos de manejo de HR, etc).\nEs una buena materia, me alegro haberla cursado. Pero de vuelta, lamento que sean solo 2 puntos para una cursada cuatrimestral. Hay que ver como se puede mejorar eso. Ernesto OK, hizo entretenidas las clases. Los invitados a veces si a veces no.', 'Sería interesante una materia optativa que sea la versión práctica de esta matería en completo. Donde el fin es administrar y llevar adelante un proyecto entre los miembros del grupo.', 'Solo quería pedir que para el próximo cuatrimestre editen los powerpoints/pdfs para que no tengan el fondo negro y el texto blanco por que hay un par de apuntes que entre los 2 me consumieron mas de 2 cartuchos de tinta negra. \nMe gusto mucho la materia ya que tiene un enfoque diferente al de la mayoría de las materias de la carrera.', 'Temas interesantes. Las primeras 20 transparencias son por lo gral poco interesantes lo que produce cansancio. Por el resto bien.', 'Todas las cosas que se dijeron en la materia son ciertas, pero siguen siendo, en gran medida, inutiles, al menos eso es lo que yo veo.', 'Un tip para Ernesto, para el próximo cuatrimestre: por reglamento es obligatorio dar a conocer el criterio de aprobación de los parciales/finales. Recuerdo que en el primer parcial, ante la situación de no haberse comunicado un criterio de aprobación, un alumno preguntó cuánto valía cada pregunta y el profesor respondió ""es un secreto de la cátedra"".\nVa con buena onda, para evitar que se repita en el futuro.', 'Una excelente materia, dictada por un excelente profesor. \nEs una materia para llevar algo para grabarlas (a pesar de tener muy buenas diapositivas) y escucharlas varias veces, porque las explicaciones de Ernesto son muy claras y simplificadoras.']",a5779282cbac197e48e0b47aff4602e4,df3e1cd42e4bbfaf332fe0ae8f86e06a,fc563e31b29b9e8a13e92ca22b602e6c,59ef784f36b423aee4d2d6c5b3a610fb,0ce56d9a9698775afe9917c84f2e4058,b5224596a2419073b70865b5d5fd802a,3b2701eaecf3ae44cfe4756e0842cd1b,11a9532c4a05e1a7c02ad4a38629c7e5,512f2babfda15422d0c27af68cbb8915,68025f32c044cec7e617407ba9552d36,87527332a7d6a0eff612eeddd3d1a8e2,48da0f8d69db576ed268f721d66cd6bb,69626b5944bd38c504bceed5eb4a5178,471ab581ea57695ac8ffdb2e5b8aebf0,6d7152098cc336916f75c2f6f471f6e8,7acc8db7ceabe8e06a7f534504727dc0
6,Administracion de Proyectos Informaticos,Computación,Segundo Cuatrimestre,2010,"['  Es una materia importante para la formación de gente en computación que además trabaja en la industria. Santiago es una buena persona y un muy buen profesor. Me gustaría que estos temas se reforzaran en la carrera.', 'Es una materia sumamaente productiva y útil para el desarrollo profesional. Recomendada para todo el que le interese hacer carrera en la industria, o que considere tomar posiciones de liderazgo.', 'Excelente armado y dictado de la materia. En una carrera de ciencias es bueno tener una vision diferente y complementaria del desarrollo de software, sobre todo teniendo en cuenta que la mayoria trabaja en la industria y muchos desean empezar sus propios emprendimientos.\n Destaco la presencia de profesores invitados que enriquesen las clases y la modalidad de trabajos aplicados a casos.', 'La materia estuvo excelente! Felicitaciones a Santiago y a los profesores invitados.', 'La materia me pareció muy buena, los temas que se vieron fueron interesantes y distintos a los que se ven en gral. en exactas, pero que son muy importantes a mi entender y son para tenerlos en mente en la vida profesional.\n El hecho de que haya profesores invitados, creo que fué una de las mejores cosas que tuvo la materia, ya que fueron muy provechosas y aportaron bastante información e hicieron ver las cosas desde otros puntos de vista que por ahi uno no los tenia en cuenta.\n Como pidieron una lista con las clases top, aca dejo las que me parecieron mas interesantes, entretenidas y provechosas, sin un orden en particular.\n -- Introduccion para encarar proyectos de desarrollo de software.(Angel Perez Puletti)\n-- PeopleWare (Santiago Ceria , Maximiliano Contieri)\n-- Planeamiento estrategico. (Ernesto Kiszkurno)\n-- Conflictos y negociación (Gustavo Sadovoy)\n-- Factibilidad Economica (Aunque no me gusto como estuvo dada la clase)', 'La materia me pareció muy interesante, el programa de la materia muy variado y los temas que se tocaron algunos no los conocía lo que me gusto mucho. \nLa idea de traer invitados a dar las clases estuvo muy copado, es mas, si la materia se vuelve a dictar con mas invitados vendría a presenciar las clases nuevamente. Es interesante escuchar a personas que se especializaron o tienen experiencia/conocen estos temas y ademas son egresados del DC. \nExcelente materia! ', 'Los docentes invitados no fueron la mejor opcion, sobre todo por la forma de impartir las clases. Mas clases dictadas por Santiago hubieran sido mas útiles. Igual, muy buena la materia en general.', 'Me encanto la materia\n Santiago es un gran profesor, el ayudante no me gusto.\nLa clase que dio otro ayudante tampoco me gusto.\nLo profesores invitados fueron excelentes, pero no hay que olvidarse de que para invitar a un profesor, tiene que ser bueno, sino no sirve.\n Resumen excelente materia', 'Me gustó en general la materia. Los contenidos son interesantes y la dinámica que se armó en todos los temas entre el profesor titular, los profesores invitados y los alumnos fue muy amena.\n No todos los alumnos de Cs. de la Computación terminarán administrando proyectos/procesos de software, pero me parece que todos deberíamos conocer los contenidos de la materia ya que la mayoría de nosotros sí terminamos trabajando en empresas donde se aplica la mayoría de lo visto en clase. En otras palabras, creo que esta materia se encuentra en la ""zona gris"" entre materias obligatorias y optativas, por más que no tenga mucho de ""ciencia"".', 'Me parece que esta materia estaría buena para gente que tiene, o piensa tener, un emprendimiento o un cargo gerencial, pero no es mi caso. Quizás los temas de la materia me sirvan más adelante, pero en este momento no siento que me haya aportado mucho.', 'Mejores clases (sin orden particular):\n  - Introducción al Management\n - Estrategias para encarar proyectos de desarrollo de software\n - Peopleware\n - Modelos de Competencias para Recursos Humanos. People CMM\n - Modelos de Calidad para Software: ISO y CMMI\n Resumen de la materia:\n - La satisfacción de los empleados (Peopleware) no importa mientras se gane suficiente plata.\n - No alcanza con aplicar lo bueno de una metodología, está bueno certificar para saber que ""llegaste"".', 'Muy buena la materia. Estuvo interesante que haya profesores invitados, contando experiencias y haciendo aportes de calidad.\nCon respecto al puntaje de la optativa creo que  la materia tendría que dar 1 punto mas ya que se labura bastante, hay 2 parciales y semana por medio creo que había un trabajo para realizar en grupo.\nSantiago un fenómeno, siempre con buena actitud y poniendo muchas ganas en lo que hace.\n', 'Muy buena la materia. Lo que mejoraría es la comunicación de los criterios de aprobación que calculo que por se la primera vez que se da estuvo muy en el aire hasta el final.', 'Muy buena materia, muy bien dada por todos las personas que fueron invitados a dar clases. Realmente personas de mucho conocimiento y experiencia en su campo de trabajo. \n Realmente destacado el esfuerzo de Santiago Ceria para coordinar todo, corregir parciales, tps y dar clases.\n Me encantó que la materia sea muy participativa, pudiendo cada uno expresar sus opiniones y discutir sobre los temas planteados.', 'Muy buena materia. Aunque reconozco que no es para el público promedio de la carrera.\n ', 'Muy pertinente la materia y muy bueno el programa, una de las pocas veces en que me pareció atinado lo de ""un panorama amplio de su asignatura"". Santiago como siempre muy buena onda.\n Algunas clases fueron un poco aburridas y otras más interactivas y copadas. Estaría bueno que haya menos de las primeras y más de las segundas, pero el balance de la materia es muy positivo y me parece interesante que se dicten este tipo de cosas, por completitud :)', 'Ranking de clases. Igual que en la encuesta, 1 muy malo, 5 excelente. Donde 3 es una clase ""normal"".\n Introducción al Management 3\nEstrategias para encarar proyectos de desarrollo de software 3\nEstimación de Proyectos de Software 2\nAnálisis de Factibilidad para Proyectos de Software 4\nPlanificación de Proyectos “a la PMI” 4\nMétodos Agiles Destilados 5\nPlaneamiento estratégico 5\nPeopleware 4\nToma de Decisiones 3\nModelos de Competencias para Recursos Humanos. People CMM.  4\nConflictos y Negociación 4\nModelos de Calidad para Software: ISO y CMMI. 5\nEmprender tecnología 5\n En gral. la materia me encantó, y está muy bueno que en nuestra carrera haya un lugar para discutir de ""estas cosas"". Muy buena onda de Santiago y estuvo buenísimo que vengan tantos invitados a darnos clase!! Creo que es una materia que se tiene que dar seguido.\n Donde quizás me hubiera gustado un poco más de énfasis es que quedó muy colgada la frase de ""los científicos tienen que ser emprendedores"" (da muucho para discutir) y sobre emprendimientos en gral fue un poco light.\n Alguna otra clase ""integradora"" y de resumen de todo lo que se vio en el cuatrimestre, con bastante discusión por parte de todos hubiera sido un cierre genial.\n También podría haber estado bueno cambiar de grupo una o dos veces (con todos los TPs que hay da para eso) para tener más puntos de vista.\n Muy buen grupo de cursada también interesante y pro activo. Una de las materias que más me gustó hasta ahora. Quiero volver a recalcar el buen nivel, la preparación y la buena predisposición de Santigo.', 'Sinceramente la materia me gustó mucho. Una lástima que no pude terminar de cursar.']",82ae10b030a55795074b2a3f0ebaf7b3,ca945260dfbbf83f2a32708810e15a0c,647a4bfeab8b91b64c290df8c89d909a,13989afbbaa50ddcad9304543d7261aa,e45890c52e719dcd58e1f53a89e5aafe,1a5cff51758475b11c2f641f13261245,1a5cff51758475b11c2f641f13261245,97aa281ead7929a3df97e272fc411d7c,6204c4b7a54b6c87b2ad541ae910d527,160b37b40f4f0004b49a989a3fba1af6,6c5e886aa65498a32e4a1c9490a7035d,52dee8a627566a454d293deec7e2b9fe,4307048934bd5f773ddb6967f679e1c5,f645430b04efebe69bc6e296119e916b,647a4bfeab8b91b64c290df8c89d909a,a2d46a3de524c969b2efe6ee1e46129c
7,Administracion de Proyectos Informaticos,Computación,Primer Cuatrimestre,2006,"['Creo que esta materia es de gran importancia para nuestra carrera, ya que siempre vemos los aspectos tecnicos para manejar proyectos, pero nadie explica que el manejo humano es fundamental para el exito o fracaso de un proyecto.\nPor otro lado, la libertad que da el docente para realizar comentarios y discutir temas permiten que uno se saque todo tipo de inquietud.\nRealmente una materia 10 puntos. Muy recomendable.', 'Esta materia me parecio muy importante para mi formacion como profesional y es solamente una introduccion a la administracion de proyectos informaticos, pero creo que abre un amplio espectro para mi futuro laboral.']",8d5ce8df15501b80e996366fa5ebbb53,97f6b8e3c941dae9f789239702dcf1a4,59ef784f36b423aee4d2d6c5b3a610fb,59ef784f36b423aee4d2d6c5b3a610fb,59ef784f36b423aee4d2d6c5b3a610fb,d32e1dffc8a7c7cc82786c2ea1eee516,d32e1dffc8a7c7cc82786c2ea1eee516,3c41c0ef016d0e3a8431c6475a126534,97f6b8e3c941dae9f789239702dcf1a4,97f6b8e3c941dae9f789239702dcf1a4,d31376fb121cf7b3aaa510d93cbb75f0,d31376fb121cf7b3aaa510d93cbb75f0,d32e1dffc8a7c7cc82786c2ea1eee516,d32e1dffc8a7c7cc82786c2ea1eee516,d32e1dffc8a7c7cc82786c2ea1eee516,1fe61e62d7ebbd9ea83c2b1d9c5469bd
8,Administracion de Proyectos Informaticos,Computación,Segundo Cuatrimestre,2005,"['Excelente materia. Imprescindible cursarla antes de terminar la carrera.\nMuy buenas clases, bien organizadas y comprensibles.\nBuen manejo del materias proyectado, sin la sobrecarga de informacion tipica de su abuso.']",3c41c0ef016d0e3a8431c6475a126534,59ef784f36b423aee4d2d6c5b3a610fb,59ef784f36b423aee4d2d6c5b3a610fb,59ef784f36b423aee4d2d6c5b3a610fb,59ef784f36b423aee4d2d6c5b3a610fb,1fe61e62d7ebbd9ea83c2b1d9c5469bd,1fe61e62d7ebbd9ea83c2b1d9c5469bd,1fe61e62d7ebbd9ea83c2b1d9c5469bd,fd8daf3a7c9426346413863c8d54cab2,fd8daf3a7c9426346413863c8d54cab2,fd8daf3a7c9426346413863c8d54cab2,fd8daf3a7c9426346413863c8d54cab2,fd8daf3a7c9426346413863c8d54cab2,fd8daf3a7c9426346413863c8d54cab2,fd8daf3a7c9426346413863c8d54cab2,c95162abfe3cc2010a1d0f504ba07fe9
9,Administracion de Proyectos Informaticos,Computación,Primer Cuatrimestre,2005,"['Muy buena materia, me parecieron excelentes los contenidos. La única crítica: muchas veces perdíamos demasiado tiempo yendonos por las ramas en temas que a mi criterio no eran importantes.']",9c8c4e7d579c0f113663f42e817734c1,9a1f4c958d87992fb392d61ea0ca2595,9a1f4c958d87992fb392d61ea0ca2595,9a1f4c958d87992fb392d61ea0ca2595,7c8f627e0a2e99bd3532c6a6ca66edc2,97166c413b1a0cd76298e1746d97caf5,97166c413b1a0cd76298e1746d97caf5,838cac347ff6a8aa811359d163000486,e309730160bc24b1766f658b32cdcc52,e309730160bc24b1766f658b32cdcc52,13b3d80319484ecd35cf3e175a2493f1,13b3d80319484ecd35cf3e175a2493f1,d8caf1f9510fe900ccc43aa567b11c69,13b3d80319484ecd35cf3e175a2493f1,d31376fb121cf7b3aaa510d93cbb75f0,dd10e7d57e53d63d6da53d63d5678a9d
