hash,texto
6dc08c72e318aaa06cec707c97c219cb,2.8
4acb85bd35717767c8cf6472862ef23a,3.8
f28d392b8afa3f3d5c941791c239f9f9,4.8
e70532bf916345ae68b0b946900c7796,3.8
7cdf1469d76b1f9c83a42a1040a459ea,4.3
0068ecdfa799cac8f7f2bc6af77967f5,3.8
308a5f4071ae14812ed6e25d761da0e1,
bab5161c928f160daf9708f20f97d28c,3.3
6813b6452c41c6c5ac50df3707b0a4ef,4.5
d54d857a28786b42dfb2a6ee0d869c68,3.5
08c428fbbc3bba96bb226f2a577fed22,4.2
6e7f78aafb0861de3f4642e76d8bb2bb,4.4
7315d45819940dc9f39ce02a3a3c91e6,4.8
b1e9958be5fbaacc6f3ebd1355738f4f,4.4
d37db3cb873e81b445274738951d8747,4.4
5aab9cded62aea6cb72107f105760194,4.4
c3f3fbdffe656444715c3485e23dd23c,3.8
32c4b69d04191bda6e03d9753963e659,
b4667612c5cb5d48cc3c80a294107c0d,3.8
c903f8712daae4933f81faf68a85aa44,4.9
1e48ab7ad0e94e6a3356a146cfdec452,4.9
a43b2a545ae98e3bd13d86677719bb99,2.9
69f32fc1c0842c46a636640b6a409de3,4.2
1a4706e9d38eecc173f3c36bd0347123,.
ddfc3117e9b898f7f5127434b654b6d6,3.6
395ef49617c1c6337cefa3f5112b3ddc,3.1
5dead3cfaef84abeefd35f9302744401,3.9
e60aa429a8b6cc92f36e011f30dd16e4,4.1
27cf63f1a166a0e4a4465c40121d0284,3.0
80a9b3075a69163c71498f0ba2330641,4.2
15275910eb92ebed980e17ed6a5e6d4b,3.9
ec858664111f35d86cba7d1cf9ce71c3,3.2
30022a213c58b32ee995ddaf30e31c71,4.3
7e94bfcc65d0b38ec05ee700c8369255,3.8
1835b2c869146217890063bd6a9fcea7,4.4
f5a95d811211c1dffab9185aea3b923f,47
dd060baed46196c45841f5f9491c7f51,3.1
a8c665a75a690115a72443d414e34349,2
2917b579424c8bdc47367ad94c9697c2,4.9
253d613b22a229d1b320d3078cb774f7,3.9
3752830a1b07d71f446d8a79a69dfe2c,4.4
4acbb20fce79fe6db4943f6ef2cb5791,3.8
18ea3d8893bc5d4721ef353596ba53f5,4.8
146bfeda20b1551ba1f8690e24c3ee4d,
f0e8903943bf7736c5d63574fea92065,2.3
3d46aea75a159716daa9fff32e1f085e,3.8
060cea1593af1d91cd6265051a35e568,3.3
ff15bb626750ef750f2cee580ac7790f,7
92337cc0ea5e98552bfde4cb9c87f662,4.5
d07de9f0cd95c634d9f7c262a662a74c,4.6
973b49003ae709d605f7388f29ba5157,3.7
17b2854f51f98df73b5dc31e66bde615,
4657bee677d4263cfd1b56bf03bc2a33,3.3
a4edff65dcbbc29ed4fbfd14482f7d74,4.6
2643a347998d27e2679bfc73a294b6cd,4.3
001d461401e189251e63f1068b4ed19a,1
3c5e6dbded6d42b3dfc09e67d909d166,4.4
57bad33b48f3157c34e4939cd17179fa,2.4
469bec6e9087176f1eb31fd42be22fab,4.7
24ba9719c6c5e424aa4d21116aaa12a0,3.3
8b16c304b28e148b5dd6fe66e4cfaf46,3.4
7a49053c0e74873e3ab4a1cdb54de66e,4.4
9b2cf63c3c3eaafe736888a6601b9688,4.7
952f90797f93962808eebe57375e3499,4.0
292196f912e3ffb8f6ce85fb43c211a1,4.9
f6ab5f014c2f1987be7a9ae538b728be,4.2
1f7668d226101038d25e8e8afdca115f,
f77bee5a78cfa2cdcc05fe261079e40e,4.4
18a95ec50724d0491aeff414f60dedaa,
8bbc1ad9de9a25a9e819fa3c741884f1,4.0
6e001843b5cd0ddc8685d756be93a928,2.7
5a1a8956ca467641a14e7dce7d8f2f37,4.4
e932ee76bc95fb680f2d5e6fecccab1b,4.5
5fb7ccf9a208fe764d6f29f6d284205d,4.6
2a67cd6e55de8004f697226cb295b6c7,
0a55f698b401fa1855689eed2185d414,3.2
347ac9cbb1af5a139b1ffdff65fc0834,3.7
e4bf86778254df37755c0619013acf7b,1.6
0d63aea61c509c8e0603140256434d6a,4.4
a9fd80982113ff916979deb8f2e94f88,4.1
70e744af690d374cdf46b2ba3b12aaa6,4.3
6ac95359d619b7c8de4416624321e798,4.2
fa7618686b36ab5c8b56f858d089a11f,4.8
65f5286a027296df7fe0606d166a4467,4.1
2aa906259590f8fc4694215f140c3d15,4.8
ffeb74a940ba219d52a8c7e113a0415b,3.8
b3bc88921e44046a5335cffde6ba6d97,4.2
ec5f71aa9a3857dabbaed80071020f2e,4.3
be661b45be902cbf9d50091b6dca3314,4.4
e59450b811bc50aa887350f254a55c9e,4.2
bc5110b4788227a2ed6e7b2a673ddd66,3.6
728c76793793ccc32cdac9002a00409d,4.2
3a518ac6ba93236dbd50d2a3ab86ab0d,3.9
2499f565e5fe98525c70ca04de896558,4.3
ecb44b219a6094553558186628c0b3b9,3.0
e36dd055dc5df4c5d526a07d28c1f32d,4.2
b4f73fadfaaffabfe2a5c33ceacd7377,4.3
e0a11fa8372096bf9820b6f1a66dd102,3.0
c438f588cc382d25bdc16765275d241c,3.6
6482ca356997aafcf97a519a0f5cd545,
c8b2e07b933b8b9a96d483a6358c2cef,3.6
3dfce0663ce0174a9ea97d1c05d09744,4.5
0edaddff6da197d12001db4c014fde16,4.8
6a263dbfba00297c2febad5ee08f2ed8,4.3
f9620fd192378f491f5104815d8e8750,3.8
3a76ed17c02cecb2f865b634902c5427,4.6
fe30ea47c7eafd77ba797059f252b5e1,3.4
cb40e06f0b56cb53b3cf2b49a4fdb611,4
f45bb0e566d2ed2a71ba3b70da22c2b1,3.8
f8ad77a50ec4ea8b829e05e352d1ccb2,4.1
af2b730fda9763835dd92922ac283da5,4.2
c541ce8aac0663ed90bf04dc73c809bc,4.9
e9c440be6c2871d906073af7790d361f,4.5
17d7afd8d9ab72537d179dbc23e2b5cd,4.
ab5643c3da750c1738b0a210a8e56310,3.4
1844e2bb6a366afc7ae80474fbfa2805,3.0
89fb2c2a88df46e6fc22b15ec657436a,3.5
b43a3b8a3b1993cfc47e550cd278e285,4.5
8d2a338c139938a8cdc344656c6392b5,3.5
8862164d1711fb41e964d5bc6305e432,
16836b9d90151b9eab725d98a23c1184,4.1
31e131103896e553bf62c60b337f87aa,3.5
faae5fe7c95b24aebbf7dd08f5fc7890,4.8
77b1f8e56058e7fad2fcd816a1484907,4.0
d52ca6364967bffdb601b6eaf51d1641,4.0
ed9eb912fca722fd7eec14ee904b1d37,5.0
fee8ebfc0fbc8c59cf797608e8e212a3,".
."
ddaff8f171c75c1261e03407653ef224,3.9
012f281d7fe9ed921fd9832b2d8197f7,3.9
d76f63f943d907ce7fe3e7ef6a4d8d59,3.4
3e1e7c7b3040fd8d385f227c3c58ca73,
9ba2d3725dd9889d4cdca513919116d1,2.3
4176b5885c61d4075515eab702cabe1f,4.4
d19704e2ac69672865c6fca63b8b21d7,4.3
740f29e00b53a599aa132b2f9ded6c42,4.3
b853b6a5ce6090aba1bd78c5769a6960,
17f12b2b177ab9bb63a16884eb9b65b3,3.5
462859e2d05a51c7148fef2882778cbc,3.1
b3b2441d5d38dcb36cfa4f5a73796cb0,46
2be8e254386ae986ee0d237e64afa391,2.3
d008dae2b50572da1d9d129632ae1fa4,5.0
1af22fe12f2c7ef0ea0f4afd2d4c32dd,3.8
fd572959e5ccfcb74723a67536fa467e,3
e9638449eb55479315ec5da97bdbf678,4.6
8c65457b950e684b18a3cda929a052fa,4.9
364b8d6d8ebd3806a7b7b0af3f0836db,4.5
ae4c655ef33cde0f037c5ebcb33fa9f5,3.6
70418d786ed55cf39ed39a2ffea69379,4.2
5e81d5eb0de5c0a51c1562848d490348,3.7
dc59620413f2c8d68283ffed7d8e8926,3.5
7728861d6a654afdce08a086b755d12f,3.6
549beead7f826b09e3fcab2dca74f3f3,2.5
8d0f04dd47d3b0c858d32ea8090df4f6,4.9
7db125da80aa7b0cf8f209f23514ab77,3.
c6d141bab3357c68bc02d21f26966b05,3.9
